time,负载功率(kW),TOU计划功率(kW),逆变功率(kW),逆变设置功率(kW),逆变限制功率(kW),电池功率(kW),电池设置功率(kW),储能SOC(%),电网功率(kW),光伏功率(kW)
2026-02-26 00:00:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:01:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:02:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:03:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:04:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:05:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:06:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:07:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:08:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:09:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:10:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:11:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:12:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:13:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:14:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:15:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:16:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:17:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:18:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:19:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:20:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:21:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:22:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:23:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:24:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:25:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:26:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:27:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:28:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
2026-02-26 00:29:00,60.0,0.0,0.0,0.0,125.0,0.0,,60.0,60.0,0.0
