time,电网功率(kW),正向有功总电能,反向有功总电能
2026-02-26 00:00:00,60.0,1.0,0.0
2026-02-26 00:01:00,60.0,2.0,0.0
2026-02-26 00:02:00,60.0,3.0,0.0
2026-02-26 00:03:00,60.0,4.0,0.0
2026-02-26 00:04:00,60.0,5.0,0.0
2026-02-26 00:05:00,60.0,6.0,0.0
2026-02-26 00:06:00,60.0,7.0,0.0
2026-02-26 00:07:00,60.0,8.0,0.0
2026-02-26 00:08:00,60.0,9.0,0.0
2026-02-26 00:09:00,60.0,10.0,0.0
2026-02-26 00:10:00,60.0,11.0,0.0
2026-02-26 00:11:00,60.0,12.0,0.0
2026-02-26 00:12:00,60.0,13.0,0.0
2026-02-26 00:13:00,60.0,14.0,0.0
2026-02-26 00:14:00,60.0,15.0,0.0
2026-02-26 00:15:00,60.0,16.0,0.0
2026-02-26 00:16:00,60.0,17.0,0.0
2026-02-26 00:17:00,60.0,18.0,0.0
2026-02-26 00:18:00,60.0,19.0,0.0
2026-02-26 00:19:00,60.0,20.0,0.0
2026-02-26 00:20:00,60.0,21.0,0.0
2026-02-26 00:21:00,60.0,22.0,0.0
2026-02-26 00:22:00,60.0,23.0,0.0
2026-02-26 00:23:00,60.0,24.0,0.0
2026-02-26 00:24:00,60.0,25.0,0.0
2026-02-26 00:25:00,60.0,26.0,0.0
2026-02-26 00:26:00,60.0,27.0,0.0
2026-02-26 00:27:00,60.0,28.0,0.0
2026-02-26 00:28:00,60.0,29.0,0.0
2026-02-26 00:29:00,60.0,30.0,0.0
2026-02-26 00:30:00,60.0,31.0,0.0
2026-02-26 00:31:00,60.0,32.0,0.0
2026-02-26 00:32:00,60.0,33.0,0.0
2026-02-26 00:33:00,60.0,34.0,0.0
2026-02-26 00:34:00,60.0,35.0,0.0
2026-02-26 00:35:00,60.0,36.0,0.0
2026-02-26 00:36:00,60.0,37.0,0.0
2026-02-26 00:37:00,60.0,38.0,0.0
2026-02-26 00:38:00,60.0,39.0,0.0
2026-02-26 00:39:00,60.0,40.0,0.0
2026-02-26 00:40:00,60.0,41.0,0.0
2026-02-26 00:41:00,60.0,42.0,0.0
2026-02-26 00:42:00,60.0,43.0,0.0
2026-02-26 00:43:00,60.0,44.0,0.0
2026-02-26 00:44:00,60.0,45.0,0.0
2026-02-26 00:45:00,60.0,46.0,0.0
2026-02-26 00:46:00,60.0,47.0,0.0
2026-02-26 00:47:00,60.0,48.0,0.0
2026-02-26 00:48:00,60.0,49.0,0.0
2026-02-26 00:49:00,60.0,50.0,0.0
2026-02-26 00:50:00,60.0,51.0,0.0
2026-02-26 00:51:00,60.0,52.0,0.0
2026-02-26 00:52:00,60.0,53.0,0.0
2026-02-26 00:53:00,60.0,54.0,0.0
2026-02-26 00:54:00,60.0,55.0,0.0
2026-02-26 00:55:00,60.0,56.0,0.0
2026-02-26 00:56:00,60.0,57.0,0.0
2026-02-26 00:57:00,60.0,58.0,0.0
2026-02-26 00:58:00,60.0,59.0,0.0
2026-02-26 00:59:00,60.0,60.0,0.0
2026-02-26 01:00:00,60.0,61.0,0.0
2026-02-26 01:01:00,60.0,62.0,0.0
2026-02-26 01:02:00,60.0,63.0,0.0
2026-02-26 01:03:00,60.0,64.0,0.0
2026-02-26 01:04:00,60.0,65.0,0.0
2026-02-26 01:05:00,60.0,66.0,0.0
2026-02-26 01:06:00,60.0,67.0,0.0
2026-02-26 01:07:00,60.0,68.0,0.0
2026-02-26 01:08:00,60.0,69.0,0.0
2026-02-26 01:09:00,60.0,70.0,0.0
2026-02-26 01:10:00,60.0,71.0,0.0
2026-02-26 01:11:00,60.0,72.0,0.0
2026-02-26 01:12:00,60.0,73.0,0.0
2026-02-26 01:13:00,60.0,74.0,0.0
2026-02-26 01:14:00,60.0,75.0,0.0
2026-02-26 01:15:00,60.0,76.0,0.0
2026-02-26 01:16:00,60.0,77.0,0.0
2026-02-26 01:17:00,60.0,78.0,0.0
2026-02-26 01:18:00,60.0,79.0,0.0
2026-02-26 01:19:00,60.0,80.0,0.0
2026-02-26 01:20:00,60.0,81.0,0.0
2026-02-26 01:21:00,60.0,82.0,0.0
2026-02-26 01:22:00,60.0,83.0,0.0
2026-02-26 01:23:00,60.0,84.0,0.0
2026-02-26 01:24:00,60.0,85.0,0.0
2026-02-26 01:25:00,60.0,86.0,0.0
2026-02-26 01:26:00,60.0,87.0,0.0
2026-02-26 01:27:00,60.0,88.0,0.0
2026-02-26 01:28:00,60.0,89.0,0.0
2026-02-26 01:29:00,60.0,90.0,0.0
2026-02-26 01:30:00,60.0,91.0,0.0
2026-02-26 01:31:00,60.0,92.0,0.0
2026-02-26 01:32:00,60.0,93.0,0.0
2026-02-26 01:33:00,60.0,94.0,0.0
2026-02-26 01:34:00,60.0,95.0,0.0
2026-02-26 01:35:00,60.0,96.0,0.0
2026-02-26 01:36:00,60.0,97.0,0.0
2026-02-26 01:37:00,60.0,98.0,0.0
2026-02-26 01:38:00,60.0,99.0,0.0
2026-02-26 01:39:00,60.0,100.0,0.0
2026-02-26 01:40:00,60.0,101.0,0.0
2026-02-26 01:41:00,60.0,102.0,0.0
2026-02-26 01:42:00,60.0,103.0,0.0
2026-02-26 01:43:00,60.0,104.0,0.0
2026-02-26 01:44:00,60.0,105.0,0.0
2026-02-26 01:45:00,60.0,106.0,0.0
2026-02-26 01:46:00,60.0,107.0,0.0
2026-02-26 01:47:00,60.0,108.0,0.0
